chr	start	end	annotation	dist.to.tss	gene	name	hypo_in_female	logFC	FDR	gExp_up_in_female	epi_regulation
chr13	89618098	89618100	intron	-72917	ENSRNOT00000078402.1	Pcp4l1	TRUE	-5.617	0.033	TRUE	TRUE
chr13	89447364	89447366	Intergenic	97817	ENSRNOT00000078402.1	Pcp4l1	TRUE	-5.617	0.033	TRUE	TRUE
chr1	91188983	91188985	Intergenic	-10183	ENSRNOT00000017708.5	Pdcd5	TRUE	-1.493	0	TRUE	TRUE
chr5	25601496	25601498	Intergenic	-17219	ENSRNOT00000090579.1	Pdp1	TRUE	-1.118	0	TRUE	TRUE
chr5	25583037	25583039	intron	1240	ENSRNOT00000090579.1	Pdp1	TRUE	-1.118	0	TRUE	TRUE
chr5	25582039	25582041	intron	2238	ENSRNOT00000090579.1	Pdp1	TRUE	-1.118	0	TRUE	TRUE
chr5	25465163	25465165	Intergenic	119114	ENSRNOT00000090579.1	Pdp1	TRUE	-1.118	0	TRUE	TRUE
chr17	16304449	16304451	Intergenic	62087	ENSRNOT00000022669.6	Phf2	TRUE	-9.408	0	TRUE	TRUE
chr17	16334350	16334352	intron	91988	ENSRNOT00000022669.6	Phf2	TRUE	-9.408	0	TRUE	TRUE
chr17	16387045	16387047	Intergenic	144683	ENSRNOT00000022669.6	Phf2	TRUE	-9.408	0	TRUE	TRUE
chr1	214180586	214180588	exon	-35458	ENSRNOT00000023376.4	Phrf1	TRUE	-2.657	0	TRUE	TRUE
chr7	129832917	129832919	Intergenic	-27194	ENSRNOT00000085835.1	Pim3	TRUE	-5.787	0.024	TRUE	TRUE
chr7	129885187	129885189	Intergenic	25076	ENSRNOT00000085835.1	Pim3	TRUE	-5.787	0.024	TRUE	TRUE
chr7	126712188	126712190	intron	70239	ENSRNOT00000078928.1	Ppara	TRUE	-6.196	0.01	TRUE	TRUE
chr10	86242790	86242792	Intergenic	-60934	ENSRNOT00000037752.3	Ppp1r1b	TRUE	-1.518	0	TRUE	TRUE
chr10	86248774	86248776	Intergenic	-54950	ENSRNOT00000037752.3	Ppp1r1b	TRUE	-1.518	0	TRUE	TRUE
chr10	86250428	86250430	Intergenic	-53296	ENSRNOT00000037752.3	Ppp1r1b	TRUE	-1.518	0	TRUE	TRUE
chr10	86289399	86289401	Intergenic	-14325	ENSRNOT00000037752.3	Ppp1r1b	TRUE	-1.518	0	TRUE	TRUE
chr10	86360263	86360265	Intergenic	56539	ENSRNOT00000037752.3	Ppp1r1b	TRUE	-1.518	0	TRUE	TRUE
chr3	11101683	11101685	exon	-105856	ENSRNOT00000013546.6	Prrc2b	TRUE	-1.306	0	TRUE	TRUE
chr3	11108263	11108265	Intergenic	-99276	ENSRNOT00000013546.6	Prrc2b	TRUE	-1.306	0	TRUE	TRUE
chr9	94312829	94312831	intron	33677	ENSRNOT00000065805.2	Prss56	TRUE	-2.51	0.024	TRUE	TRUE
chr3	2778939	2778941	Intergenic	-89856	ENSRNOT00000020926.5	Ptgds	TRUE	-2.171	0	TRUE	TRUE
chr3	2600742	2600744	Intergenic	88341	ENSRNOT00000020926.5	Ptgds	TRUE	-2.171	0	TRUE	TRUE
chr3	2600168	2600170	Intergenic	88915	ENSRNOT00000020926.5	Ptgds	TRUE	-2.171	0	TRUE	TRUE
chr13	55224287	55224289	Intergenic	-50596	ENSRNOT00000064785.3	Ptprc	FALSE	6.194	0.011	FALSE	TRUE
chr13	55222882	55222884	Intergenic	-49191	ENSRNOT00000064785.3	Ptprc	FALSE	6.194	0.011	FALSE	TRUE
chr13	55206826	55206828	Intergenic	-33135	ENSRNOT00000064785.3	Ptprc	FALSE	6.194	0.011	FALSE	TRUE
chr13	44692113	44692115	intron	76563	ENSRNOT00000082439.1	Rab3gap1	TRUE	-1.682	0	TRUE	TRUE
chr8	97161672	97161674	Intergenic	-129905	ENSRNOT00000018794.8	Rasgrf1	FALSE	0.315	0.046	FALSE	TRUE
chr8	97244857	97244859	Intergenic	-46720	ENSRNOT00000018794.8	Rasgrf1	FALSE	0.315	0.046	FALSE	TRUE
chr8	97402791	97402793	intron	111214	ENSRNOT00000018794.8	Rasgrf1	FALSE	0.315	0.046	FALSE	TRUE
chr8	45081263	45081265	Intergenic	56629	ENSRNOT00000010743.7	RGD1309108	TRUE	-1.324	0.002	TRUE	TRUE
chr8	45044474	45044476	Intergenic	93418	ENSRNOT00000010743.7	RGD1309108	TRUE	-1.324	0.002	TRUE	TRUE
chr8	45041620	45041622	Intergenic	96272	ENSRNOT00000010743.7	RGD1309108	TRUE	-1.324	0.002	TRUE	TRUE
chr14	21142557	21142559	Intergenic	-21280	ENSRNOT00000004798.6	RGD1561381	TRUE	-1.517	0.003	TRUE	TRUE
chr14	21154412	21154414	exon	-9425	ENSRNOT00000004798.6	RGD1561381	TRUE	-1.517	0.003	TRUE	TRUE
chr14	21177900	21177902	intron	14063	ENSRNOT00000004798.6	RGD1561381	TRUE	-1.517	0.003	TRUE	TRUE
chr14	21178596	21178598	intron	14759	ENSRNOT00000004798.6	RGD1561381	TRUE	-1.517	0.003	TRUE	TRUE
chr6	76804143	76804145	Intergenic	58165	ENSRNOT00000076784.1	Rn60_6_0863.2	FALSE	4.236	0.036	FALSE	TRUE
chrX	110737322	110737324	intron	-51944	ENSRNOT00000086014.1	Rnf128	TRUE	-5.46	0.044	TRUE	TRUE
chrX	110757237	110757239	intron	-32029	ENSRNOT00000086014.1	Rnf128	TRUE	-5.46	0.044	TRUE	TRUE
chrX	110814454	110814456	intron	25188	ENSRNOT00000086014.1	Rnf128	TRUE	-5.46	0.044	TRUE	TRUE
chrX	110820485	110820487	intron	31219	ENSRNOT00000086014.1	Rnf128	TRUE	-5.46	0.044	TRUE	TRUE
chr18	70873640	70873642	Intergenic	-96953	ENSRNOT00000025217.6	Rpl17	TRUE	-0.334	0.019	TRUE	TRUE
chr18	70927653	70927655	Intergenic	-42940	ENSRNOT00000025217.6	Rpl17	TRUE	-0.334	0.019	TRUE	TRUE
chr18	70940519	70940521	Intergenic	-30074	ENSRNOT00000025217.6	Rpl17	TRUE	-0.334	0.019	TRUE	TRUE
chr17	29711308	29711310	intron	72232	ENSRNOT00000021877.5	Rpp40	TRUE	-6.924	0.001	TRUE	TRUE
chr17	29711930	29711932	intron	72854	ENSRNOT00000021877.5	Rpp40	TRUE	-6.924	0.001	TRUE	TRUE
chr18	85983267	85983269	Intergenic	-132785	ENSRNOT00000076159.1	Rttn	FALSE	6.507	0.004	FALSE	TRUE
chr4	120500808	120500810	Intergenic	88413	ENSRNOT00000018339.6	Ruvbl1	TRUE	-6.887	0.002	TRUE	TRUE
chr4	31083784	31083786	intron	-146126	ENSRNOT00000087897.1	Samd9l	TRUE	-5.834	0.021	TRUE	TRUE
chr4	31099727	31099729	intron	-130183	ENSRNOT00000087897.1	Samd9l	TRUE	-5.834	0.021	TRUE	TRUE
chr4	31199976	31199978	Intergenic	-29934	ENSRNOT00000087897.1	Samd9l	TRUE	-5.834	0.021	TRUE	TRUE
chr4	31214493	31214495	Intergenic	-15417	ENSRNOT00000087897.1	Samd9l	TRUE	-5.834	0.021	TRUE	TRUE
chr20	46575801	46575803	Intergenic	-91650	ENSRNOT00000065890.1	Sesn1	TRUE	-0.884	0.04	TRUE	TRUE
chr2	196529200	196529202	Intergenic	-2315	ENSRNOT00000077325.1	Setdb1	TRUE	-0.844	0.037	TRUE	TRUE
chr2	196527883	196527885	promoter-TSS	-998	ENSRNOT00000077325.1	Setdb1	TRUE	-0.844	0.037	TRUE	TRUE
chr5	138118613	138118615	Intergenic	-45864	ENSRNOT00000083700.1	Slc2a1	TRUE	-1.833	0.015	TRUE	TRUE
chr5	138150377	138150379	Intergenic	-14100	ENSRNOT00000083700.1	Slc2a1	TRUE	-1.833	0.015	TRUE	TRUE
chr5	138246573	138246575	intron	82096	ENSRNOT00000083700.1	Slc2a1	TRUE	-1.833	0.015	TRUE	TRUE
chr5	138284872	138284874	intron	120395	ENSRNOT00000083700.1	Slc2a1	TRUE	-1.833	0.015	TRUE	TRUE
chr16	54511405	54511407	intron	1943	ENSRNOT00000015127.5	Slc7a2	FALSE	6.972	0.002	FALSE	TRUE
chr10	70266840	70266842	intron	70691	ENSRNOT00000055963.3	Slfn13	FALSE	1.003	0.038	FALSE	TRUE
chr10	70207654	70207656	intron	129877	ENSRNOT00000055963.3	Slfn13	FALSE	1.003	0.038	FALSE	TRUE
chr20	13784496	13784498	intron	103783	ENSRNOT00000029458.6	Smarcb1	FALSE	1.35	0	FALSE	TRUE
chr20	13792608	13792610	Intergenic	111895	ENSRNOT00000029458.6	Smarcb1	FALSE	1.35	0	FALSE	TRUE
chr7	144112976	144112978	Intergenic	-146114	ENSRNOT00000018828.3	Sp7	TRUE	-6.192	0.01	TRUE	TRUE
chr7	144024562	144024564	intron	-57700	ENSRNOT00000018828.3	Sp7	TRUE	-6.192	0.01	TRUE	TRUE
chr7	143966031	143966033	intron	831	ENSRNOT00000018828.3	Sp7	TRUE	-6.192	0.01	TRUE	TRUE
chr7	143831277	143831279	intron	135585	ENSRNOT00000018828.3	Sp7	TRUE	-6.192	0.01	TRUE	TRUE
chr10	105488257	105488259	Intergenic	-12030	ENSRNOT00000083593.1	Sphk1	TRUE	-5.449	0.018	TRUE	TRUE
chr10	46658808	46658810	intron	-65800	ENSRNOT00000047053.6	Srebf1	TRUE	-1.252	0	TRUE	TRUE
chr8	108891752	108891754	Intergenic	-66344	ENSRNOT00000066917.1	Stag1	TRUE	-6.234	0.009	TRUE	TRUE
chr12	19683519	19683521	Intergenic	83562	ENSRNOT00000042006.4	Stag3	TRUE	-1.673	0.04	TRUE	TRUE
chr13	79937749	79937751	intron	-136381	ENSRNOT00000084058.1	Suco	FALSE	2.381	0	FALSE	TRUE
chr13	79916351	79916353	intron	-114983	ENSRNOT00000084058.1	Suco	FALSE	2.381	0	FALSE	TRUE
chr17	55325957	55325959	intron	20321	ENSRNOT00000025037.8	Svil	TRUE	-0.644	0.044	TRUE	TRUE
chr13	68704388	68704390	intron	81371	ENSRNOT00000086460.1	Swt1	FALSE	5.635	0.04	FALSE	TRUE
chr11	81806760	81806762	Intergenic	37585	ENSRNOT00000038826.3	Tbccd1	TRUE	-6.171	0.01	TRUE	TRUE
chr11	81837313	81837315	Intergenic	68138	ENSRNOT00000038826.3	Tbccd1	TRUE	-6.171	0.01	TRUE	TRUE
chr11	81909460	81909462	Intergenic	140285	ENSRNOT00000038826.3	Tbccd1	TRUE	-6.171	0.01	TRUE	TRUE
chrX	44782800	44782802	Intergenic	-124718	ENSRNOT00000004901.7	Tbl1x	TRUE	-0.402	0.04	TRUE	TRUE
chrX	44819855	44819857	Intergenic	-87663	ENSRNOT00000004901.7	Tbl1x	TRUE	-0.402	0.04	TRUE	TRUE
chrX	44823044	44823046	Intergenic	-84474	ENSRNOT00000004901.7	Tbl1x	TRUE	-0.402	0.04	TRUE	TRUE
chrX	44825511	44825513	Intergenic	-82007	ENSRNOT00000004901.7	Tbl1x	TRUE	-0.402	0.04	TRUE	TRUE
chrX	44882389	44882391	intron	-25129	ENSRNOT00000004901.7	Tbl1x	TRUE	-0.402	0.04	TRUE	TRUE
chrX	45020789	45020791	Intergenic	113271	ENSRNOT00000004901.7	Tbl1x	TRUE	-0.402	0.04	TRUE	TRUE
chrX	45023447	45023449	Intergenic	115929	ENSRNOT00000004901.7	Tbl1x	TRUE	-0.402	0.04	TRUE	TRUE
chrX	45049923	45049925	Intergenic	142405	ENSRNOT00000004901.7	Tbl1x	TRUE	-0.402	0.04	TRUE	TRUE
chrX	45050509	45050511	Intergenic	142991	ENSRNOT00000004901.7	Tbl1x	TRUE	-0.402	0.04	TRUE	TRUE
chr10	85012733	85012735	Intergenic	36597	ENSRNOT00000012538.5	Tbx21	TRUE	-7.504	0	TRUE	TRUE
chr10	84936518	84936520	Intergenic	112812	ENSRNOT00000012538.5	Tbx21	TRUE	-7.504	0	TRUE	TRUE
chr10	84926828	84926830	Intergenic	122502	ENSRNOT00000012538.5	Tbx21	TRUE	-7.504	0	TRUE	TRUE
chr17	49467994	49467996	intron	-48432	ENSRNOT00000048929.3	Tgif2-ps1	TRUE	-5.589	0.035	TRUE	TRUE
chr17	49468553	49468555	intron	-47873	ENSRNOT00000048929.3	Tgif2-ps1	TRUE	-5.589	0.035	TRUE	TRUE
chr2	22435708	22435710	Intergenic	-50033	ENSRNOT00000065224.1	Thbs4	TRUE	-3.522	0.016	TRUE	TRUE
chr2	22296416	22296418	intron	89259	ENSRNOT00000065224.1	Thbs4	TRUE	-3.522	0.016	TRUE	TRUE
chr8	73326961	73326963	Intergenic	-132125	ENSRNOT00000064613.4	Tln2	FALSE	5.785	0.03	FALSE	TRUE
chr8	73063505	73063507	intron	131331	ENSRNOT00000064613.4	Tln2	FALSE	5.785	0.03	FALSE	TRUE
chr13	99100311	99100313	intron	-120699	ENSRNOT00000083608.1	Tmem63a	TRUE	-5.793	0.024	TRUE	TRUE
chr13	99242608	99242610	intron	21598	ENSRNOT00000083608.1	Tmem63a	TRUE	-5.793	0.024	TRUE	TRUE
chr2	196269473	196269475	intron	-25593	ENSRNOT00000088312.1	Tmod4	FALSE	6.784	0.003	FALSE	TRUE
chr11	78311461	78311463	intron	15820	ENSRNOT00000002636.7	Tp63	TRUE	-6.992	0.001	TRUE	TRUE
chr18	15636709	15636711	intron	-96533	ENSRNOT00000022113.4	Ttr	TRUE	-2.236	0	TRUE	TRUE
chr17	31451906	31451908	intron	-41198	ENSRNOT00000023611.6	Tubb2a	TRUE	-0.389	0.011	TRUE	TRUE
chr17	31494971	31494973	exon	1867	ENSRNOT00000023611.6	Tubb2a	TRUE	-0.389	0.011	TRUE	TRUE
chr10	72278031	72278033	intron	139038	ENSRNOT00000036814.5	Usp32	TRUE	-1.039	0.001	TRUE	TRUE
chr10	72273524	72273526	intron	143545	ENSRNOT00000036814.5	Usp32	TRUE	-1.039	0.001	TRUE	TRUE
chr4	170903179	170903181	intron	-119455	ENSRNOT00000072528.1	Wbp11	TRUE	-7.318	0	TRUE	TRUE
chr4	170902385	170902387	intron	-118661	ENSRNOT00000072528.1	Wbp11	TRUE	-7.318	0	TRUE	TRUE
chr4	170859677	170859679	intron	-75953	ENSRNOT00000072528.1	Wbp11	TRUE	-7.318	0	TRUE	TRUE
chr1	224901100	224901102	Intergenic	-32817	ENSRNOT00000066823.2	Wdr74	FALSE	2.823	0	FALSE	TRUE
chr1	224934192	224934194	promoter-TSS	275	ENSRNOT00000066823.2	Wdr74	FALSE	2.823	0	FALSE	TRUE
chrX	68565667	68565669	Intergenic	-61643	ENSRNOT00000076699.2	Yipf6	TRUE	-5.519	0.04	TRUE	TRUE
chrX	68689233	68689235	Intergenic	61907	ENSRNOT00000008705.7	Yipf6	TRUE	-5.44	0.046	TRUE	TRUE
chrX	68689685	68689687	Intergenic	62359	ENSRNOT00000008705.7	Yipf6	TRUE	-5.44	0.046	TRUE	TRUE
chr20	7690203	7690205	Intergenic	-77189	ENSRNOT00000084771.1	Zfp523	TRUE	-6.032	0.014	TRUE	TRUE
chr20	7752825	7752827	Intergenic	-14567	ENSRNOT00000084771.1	Zfp523	TRUE	-6.032	0.014	TRUE	TRUE
chr20	7805710	7805712	intron	38318	ENSRNOT00000084771.1	Zfp523	TRUE	-6.032	0.014	TRUE	TRUE
chr20	7839344	7839346	intron	71952	ENSRNOT00000084771.1	Zfp523	TRUE	-6.032	0.014	TRUE	TRUE
chr20	7879448	7879450	intron	112056	ENSRNOT00000084771.1	Zfp523	TRUE	-6.032	0.014	TRUE	TRUE
chr1	71333094	71333096	Intergenic	-142672	ENSRNOT00000035217.4	Zfp78	FALSE	5.786	0.03	FALSE	TRUE
chr1	71200534	71200536	Intergenic	-10112	ENSRNOT00000035217.4	Zfp78	FALSE	5.786	0.03	FALSE	TRUE
chr1	71112661	71112663	Intergenic	77761	ENSRNOT00000035217.4	Zfp78	FALSE	5.786	0.03	FALSE	TRUE
